"filename", "language", "C#", "XML", "JSON", "Properties", "Python", "comment", "blank", "total"
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\App.xaml", "XML", 0, 14, 0, 0, 0, 0, 1, 15
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\App.xaml.cs", "C#", 29, 0, 0, 0, 0, 11, 7, 47
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\AssemblyInfo.cs", "C#", 5, 0, 0, 0, 0, 4, 2, 11
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\C3PO.csproj", "XML", 0, 46, 0, 0, 0, 0, 7, 53
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\MainWindow.xaml", "XML", 0, 24, 0, 0, 0, 8, 3, 35
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\MainWindow.xaml.cs", "C#", 23, 0, 0, 0, 0, 3, 2, 28
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\Model\CloudUploader.cs", "C#", 115, 0, 0, 0, 0, 4, 18, 137
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\Model\ComponentLinker.cs", "C#", 96, 0, 0, 0, 0, 1, 15, 112
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\Model\IComponent.cs", "C#", 14, 0, 0, 0, 0, 0, 3, 17
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\Model\MetadataParser.cs", "C#", 38, 0, 0, 0, 0, 2, 7, 47
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\Model\ReconstructionComponent.cs", "C#", 153, 0, 0, 0, 0, 11, 26, 190
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\Model\ScanMetadata.cs", "C#", 48, 0, 0, 0, 0, 0, 5, 53
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\Model\ScannerComponent.cs", "C#", 134, 0, 0, 0, 0, 8, 24, 166
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\Model\SettingsParser.cs", "C#", 204, 0, 0, 0, 0, 18, 41, 263
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\Model\USBDevices.cs", "C#", 28, 0, 0, 0, 0, 12, 6, 46
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\Stores\NavigationStore.cs", "C#", 42, 0, 0, 0, 0, 0, 5, 47
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\ViewModel\Commands\CommandBase.cs", "C#", 22, 0, 0, 0, 0, 8, 6, 36
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\ViewModel\Commands\CommandExportSettings.cs", "C#", 45, 0, 0, 0, 0, 3, 5, 53
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\ViewModel\Commands\CommandImportSettings.cs", "C#", 44, 0, 0, 0, 0, 0, 7, 51
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\ViewModel\Commands\CommandReconstruct.cs", "C#", 30, 0, 0, 0, 0, 4, 6, 40
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\ViewModel\Commands\CommandSaveAllResults.cs", "C#", 43, 0, 0, 0, 0, 4, 7, 54
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\ViewModel\Commands\CommandUpdateOutPrefix.cs", "C#", 23, 0, 0, 0, 0, 0, 5, 28
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\ViewModel\Commands\CommandUpdateRegOrder.cs", "C#", 25, 0, 0, 0, 0, 0, 6, 31
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\ViewModel\Commands\CommandUpdateResultsPanel.cs", "C#", 66, 0, 0, 0, 0, 0, 7, 73
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\ViewModel\Commands\CommandUpdateSourcePrefix.cs", "C#", 23, 0, 0, 0, 0, 0, 5, 28
